"","R-2_C1D1","R-2_Week_8","R-6_C1D1","R-6_Week_8","R-16_C1D1","R-16_Week_8","R-13_C1D1","R-13_Week_8","R-10_Week_8","R-10_C1D1"
"GLB1L2",0.0749395794799303,-0.650282249410052,0.896813908745759,0.5955330925367,2.08311413432115,-0.0803157159655548,-0.892771436307361,-1.14505683937883,-0.974668604568475,0.0926941305467315
"BAIAP2L1",0.355036759114038,-1.01340269419956,1.00295694807136,0.991289157825963,1.51097244037547,-0.966484538303625,0.0998669827814069,-0.561355463626889,-1.51862270101027,0.0997431089721028
"C2orf48",1.03853650497042,-0.35368921589843,0.20754457136992,-0.412954602929367,0.908756005537437,-1.71752573867017,0.2378597873218,-1.06493117663019,-0.408640718069675,1.56504458299826
"SBSN",1.4427268059005,-0.666406039178684,0.523906394893055,-0.680461799921539,0.718205207389701,-0.217156853590442,-1.21723458587396,-1.24751082019672,-0.113190472176262,1.45712216275435
"IL2",0.0524195993762584,2.40194107549921,-0.857188034458079,-0.157179372170171,-0.328282015428312,0.827816526890862,-0.890773235052042,-0.460777582649552,0.204385825740374,-0.792362787748556
"FGF7",-0.208350695393761,1.33657094566175,-0.207627868255517,0.0315186782402729,-0.643767870048355,1.25093904503242,-1.76485493649324,-0.509923351857728,1.22840229164997,-0.512906238535804
"TYMSOS",0.0670517468492012,-0.76894199991729,1.6330921773628,1.46674223936451,0.146042331374036,-1.23198874540121,0.183145244723606,-0.937613602975385,-0.978301619620491,0.420772228240219
"SPC24",0.699035448935277,-0.233612693465236,0.820122645062791,0.329782719739364,1.02803242596807,-1.36267733163462,-0.318741795635613,-1.5102320807151,-0.781545907516606,1.32983656926166
"AMN",1.09095526220011,-0.0487795223563973,-0.940145321314246,-0.932402598154192,0.892843841445153,-0.0215016749847669,1.95039141698877,-0.44655295853786,-0.945470837061543,-0.599337608225028
"DGAT2",0.167889992121218,-0.48034724338104,0.791944892413321,0.834385842557906,0.31147606988028,-1.32006734663767,1.7371949203524,0.112365682163177,-1.41354778207412,-0.741295027395473
"BDH1",-0.236273105285679,-0.65036225638822,0.451577351517596,0.277009059456462,0.733339892668867,-0.923866365826983,2.12183976175418,-0.541075259757947,-1.42080566681901,0.188616588680732
"SLC40A1",-0.519334838642287,1.04933221917391,-1.31315362846964,-0.847898063497334,-0.524809474551301,0.749971707960089,0.831202539971835,1.0985184585758,0.813531553850938,-1.33736047437202
"CXCR6",0.0674342801285841,0.928037598552169,-0.950077074276787,-0.0674194147131242,-0.394727961576332,1.51217988593467,-0.862350491944605,-0.989823778798658,1.55624791470467,-0.799500958010596
"TOX2",-0.263330759846656,1.56386653141837,-1.4179907863858,-0.89560531482379,0.128205679383885,1.21728072839778,-0.259545049678035,0.286253238292206,0.810425115235231,-1.1695593819932
"EPHA7",-0.351689614054118,-0.763023996952233,-0.382609719125132,-0.63539206186894,2.35132033777649,-0.122680160534762,-0.561500009545549,-0.642562622266606,-0.100944071089927,1.20908191766078
"PKMYT1",0.819564191299104,-0.157977783748355,0.9453423450296,0.44698976013668,0.832706005378383,-1.65280485110288,-0.400368465748144,-1.06444369309623,-0.994618240107574,1.22561073195942
"GLIS1",-0.642696272197797,-0.205678457381336,-0.841043534781926,0.089806521115606,-0.473210124379513,0.799408574395049,-1.2617673486705,-0.374026090892375,2.16260840829393,0.746598324498872
"RAC3",-0.134951408059742,-1.07998512190156,0.340390908723617,0.284360074238654,1.99509308979198,-0.93606458575519,0.393399518579831,-0.592541717830574,-1.18837830158152,0.918677543794503
"PDCD1",0.376088091278379,1.3799679037017,-1.25236825846735,0.0231452658077046,-0.799719795093282,0.68752285210604,-0.929919975830139,-1.12442756820773,1.45216482707441,0.187546657630257
"SORD",-0.509015235102585,-1.01187656611974,-0.0573212636518171,-0.403462586559646,0.359020932527279,-0.96048671008881,2.34946109530219,0.269807289425827,-0.691151428609054,0.65502447287636
"DIAPH3",0.500052573139374,-0.343041562500713,1.47053685347561,1.16016939257515,0.290704124921499,-1.25335381455743,-0.508222940646233,-1.19417156261926,-1.00381543410518,0.881142370317178
"UBASH3A",0.0420999793907946,1.33477840973463,-1.19242696110724,-0.259019005431016,-0.363488135200425,1.32039794265814,-0.604550817925882,-0.8558050080849,1.42635308926929,-0.848339493303389
"NRTN",-0.481716297963503,-0.871891401178568,1.41893240426353,1.51717996751172,1.00527774717042,-0.718589251276854,0.316177674304972,-0.701054871629112,-1.22824105678625,-0.256074914416361
"TRIM29",1.36186222552409,0.263843642805433,1.12557791250726,1.17372883362996,0.547469698963363,-0.645967013618461,-0.801887306486905,-1.09178082323865,-1.04125217284735,-0.891594997238746
"ANLN",0.986921849859711,-0.194580970186083,1.25916983157526,1.12658575148636,0.00763394973792328,-1.66735083403168,-0.179538699178937,-0.829549141702054,-1.12160242686136,0.612310689300865
"CFB",0.936608853784431,-0.57043552435072,-0.590234064622953,-0.738605102519067,-0.59348774653117,-0.821301111583313,2.17254834691735,0.32869393079619,-0.783358445430067,0.659570863539317
"ZNRF3",0.472821375244284,-1.39409246063732,-0.179547482099843,-0.285110486072276,0.692250445324345,-0.349335206241345,1.14778644189801,-0.454718271506891,-1.33047756002986,1.68042320412091
"ELAVL2",1.64351606593471,0.102285748459759,1.13061241147037,0.792904555389557,-0.206105522644019,-1.27668207458556,-0.896062712391552,-0.902379690141083,-0.906957415188078,0.518868633695897
"PIANP",-0.596567866592276,0.886743705445652,-1.05472550708915,-0.592091984826454,0.768905133080037,1.46279438552289,-0.978912715222521,1.30111457030506,-0.213983008504751,-0.983276712118485
"HOXA2",-1.43238312776466,0.627288231233248,-0.192160470564142,0.10479140362619,-0.249254975439315,1.75852259481835,-0.54853571125213,0.484938099851792,0.877363302040487,-1.43056934654981
"CCER2",1.72945873259248,-0.942002475633028,-0.425215970229375,-0.743716233725523,1.29729015939542,-0.820200421261401,0.356316540394227,-0.484623272657057,-0.897337083589765,0.930030024714025
"RAB33A",0.0707006025585896,1.77839202632392,-0.999665733510563,-0.101321441610994,-0.400020916887712,0.530870976211578,-0.928467604064876,-0.647123486890908,1.54360298955224,-0.846967411681269
"FAM83D",0.838105715632615,-0.359754913332217,1.38957245070757,1.0350583989827,0.00021923566764323,-1.42017426479361,-0.0834597762087852,-0.697066400773582,-1.44883443307635,0.746333987194016
"HLA-DPB2",0.219209655782864,1.51047648951357,-0.774044883551437,-0.259410499353435,-0.372330181424156,1.18590271799484,-1.09334471877741,-0.943446849702143,1.32052314135419,-0.793534871836882
"INSL3",0.372244913702664,1.93006884360589,-0.970306041817503,-0.345339175977496,-0.302595072120263,1.34905537844112,-1.10461164287564,-0.789306899662444,0.32481772575404,-0.464028029050367
"ZNF367",0.967912066849736,-0.0472892377539754,0.810254147651731,0.308206109385758,1.19501928517487,-1.32547694443048,0.0275959277347663,-1.57916900623116,-1.0634463603719,0.70639401199066
"HOOK1",0.315716373427364,-0.964922561388305,0.970004302796614,0.864482181465902,0.696807396460123,-0.929029886571911,0.762190636283245,0.065361900526552,-2.06543908169376,0.284828738694168
"KLHL31",2.10162891275181,-0.91658932503595,0.893288334185151,-0.587087407053426,0.300918688796517,-0.757473615542309,0.0332749026723521,-0.480873549960157,-1.16858169444573,0.581494753631753
"MELK",0.929160701369258,0.0510146805594996,1.26644960856147,0.983085172617516,-0.0147183870551223,-1.40764314717177,-0.682210554969437,-1.36680741854354,-0.659951844053974,0.901621188686105
"CAMK4",-0.061088086430685,1.65634800206327,-1.34480311654685,-0.866682148550059,-0.40173587939314,1.09584937600241,-0.371005053894233,-0.156221703585889,1.24149427465246,-0.792155664317277
"UHRF1",0.881517099368854,0.108328260721587,0.232820947411788,-0.4558796396694,1.19322961141047,-1.75621264149561,-0.116704491178696,-0.635373695829545,-0.924499209471126,1.47277375873168
"MDGA1",-0.132993853817424,0.579776471382483,-0.57291414617826,0.107785513574621,-0.761904720869975,0.877911247236642,-1.74508018959095,-0.646519426629437,1.80299014471163,0.490948960180664
"LSR",1.69131458568075,-0.704882728547165,0.389470698844268,0.466362054220303,0.515442944819353,-1.30854551982543,0.451851586235561,-0.227416951646891,-1.69238560012408,0.418788930343322
"KIF4A",0.97344486039826,-0.0334517739325266,0.711254036461653,0.348402479376972,0.985432877655352,-1.8211716847831,-0.327537254922969,-1.07204831248634,-0.844434844581742,1.08010961681445
"EXPH5",0.392780509721348,-1.83326713903282,0.432176384175567,0.613405657273528,1.55741082935706,-0.468676932192591,0.481065724286047,-0.905844525326906,-0.905386123353367,0.636335615092129
"SAMD3",0.294251380954109,1.48117549571785,-1.13708084708253,-0.567131040593925,-0.901346659141611,1.06523766765345,-0.559454757833506,-0.30626661080021,1.44494501255069,-0.814329641424333
"NAALAD2",-0.828483255022473,0.73245608972353,-1.03645142156325,-0.430262612644683,-0.0399195495175059,2.03425509762278,0.17046362275632,0.211979674127621,0.586121867689529,-1.40015951317187
