"","R-2_Baseline","R-2_Week_8","R-6_Baseline","R-6_Week_8","R-4_Week_8","R-10_Baseline","R-10_Week_8","R-4_Baseline"
"CXCR2P1",0.0625321891093963,1.04317750345606,-0.911442360841643,-0.306446630657517,0.744944003027469,-0.807888453384348,1.45874279314024,-1.28361904384965
"SIT1",-0.0357538308127262,1.5689102421646,-1.05850105143252,-0.440153470827806,0.656231608654696,-1.07687741764083,1.07574525782982,-0.689601337935237
"CD3D",0.166108990677513,1.41462202937071,-0.980804921818091,-0.311726248298435,0.674301123682973,-1.33771434542756,1.08134785541191,-0.70613448359901
"PRSS56",2.36633768625633,0.314641021392888,-0.434593144853774,-0.434341389527487,-0.545678601727288,-0.175008368086096,-0.545678601727288,-0.545678601727288
"GPR174",0.164219207491693,1.36511822442883,-1.00085789854196,-0.298847051273006,0.634271177582558,-1.2492535726088,1.18798307433462,-0.802633161413941
"FCAMR",0.466752060691345,2.33100666446767,-0.574424935155014,-0.456335074992975,-0.342776863307999,-0.454959674289186,-0.394837242258827,-0.574424935155014
"SIRPG",0.160875275285039,1.46767203392688,-1.0680671788271,-0.228331920421729,0.34686670381835,-1.13432296721723,1.25636612597689,-0.801058072541097
"THEMIS",-0.107967341541276,1.12804727235854,-1.08495427321445,-0.0905623999680096,0.846822184671563,-1.3737474389948,1.26135117156538,-0.578989174876943
"CD8A",-0.00921979209899492,1.01828714280923,-0.950613027058889,-0.145384641910786,0.62787388059431,-0.917559451385311,1.55416733483664,-1.1775514457862
"TNS4",1.73639454905031,-0.219973222997351,-0.601744386563221,-0.80844190848212,-0.567827195662837,1.24874355072436,-0.997429687447403,0.21027830137826
"TRAT1",0.0167605843844294,1.52189242444217,-0.917307624725872,-0.352431032294552,0.548097509596629,-1.26480342386227,1.15058461724415,-0.702793054784686
"CPA5",0.0809862357824053,1.79780446276323,-0.793360481289838,-0.792749406176784,0.211329040992955,-0.789601955172132,1.09004344087377,-0.804451337773604
"TBX21",0.246524279568217,1.23730949982596,-1.17765903707482,-0.16590419886039,0.650890151015814,-1.18678485816563,1.21847618984366,-0.822852026152814
"GZMB",0.635833177593612,0.660700274971915,-1.05965648596174,0.0695893897002905,1.2505992599224,-1.20534183213551,0.812261206096064,-1.16398499018705
"IDO2",0.0376796800989624,1.80372390738894,-0.870966683417546,-0.661497187984098,0.877053389309643,-0.972798490755353,0.530078941300529,-0.74327355594107
"CXCR6",0.0325515555145604,0.780416854370613,-1.11729505374556,-0.180258357053814,1.07944797650589,-1.16064717000084,1.38667716520935,-0.820892970800196
"GPR171",0.073399284273586,1.14907322555581,-1.04994112627221,-0.00346993445402679,0.843411863147829,-1.39542428047427,1.15063570087128,-0.767684732647997
"PPP1R27",-0.387708748229465,-0.870320260427735,2.14001469834304,0.560382840942836,-0.503653676758421,-0.338392498243714,-0.870320260427735,0.269997904801194
"CTLA4",0.13459047418529,1.44905947230683,-1.1240528081694,-0.297373290566316,0.880406653727341,-0.862330854846992,0.908649981458202,-1.08894962809496
"ICOS",0.0223226059452325,1.67404061659895,-0.829030987198661,-0.453736054173399,0.620211250577666,-0.978179716849795,0.962356874170679,-1.01798458907067
"BCL11B",0.0497422700664703,1.37739320206557,-1.19570833495844,-0.331159936373423,0.747473813280044,-1.16769405439166,1.12701926981073,-0.6070662294993
"IKZF3",0.544530287998193,1.38030989180963,-1.15106298885861,-0.350482896675787,0.413578425878405,-0.961140468054577,1.12229606733833,-0.998028319435584
"LCK",0.138762168140307,1.42925165856158,-1.0387011751753,-0.276179627783883,0.577641135002767,-1.28984059376892,1.14607028850628,-0.687003853482833
"CD3G",0.163648111797429,1.38294040330207,-0.993713736105144,-0.37897241499259,0.577086041618592,-1.26668426227161,1.22198475154349,-0.706288894892231
