"","R-18_Baseline","R-5_Baseline","R-12_Baseline","R-20_Baseline","R-2_Baseline","R-14_Baseline","R-6_Baseline","R-8_Baseline","R-17_Baseline","R-24_Baseline","R-9_Baseline","R-15_Baseline","R-10_Baseline","R-4_Baseline"
"MCTP2",-1.00351333596311,0.0513364119967979,-0.616491476941392,-0.507475130592091,2.66879354306841,0.693727983827425,-1.46387656450865,0.316491178564124,-0.708168189140407,-0.388897510836632,0.832235320517933,-0.258023282758482,0.292688403537735,0.0911726492283421
"RHOF",0.853969676887941,0.110443866178549,-0.0291253789087628,-0.786122684417743,2.23587487188196,1.76802957714856,-0.851517223429008,-0.421918517872163,-0.0602985371311141,-0.69357329836938,-0.57439008101297,-1.27132334496702,-0.4059740709398,0.12592514495094
"KLRF1",-0.348418622702923,0.012040147470347,-0.973595918805824,-0.893191305161839,1.47974602103668,2.34743310039538,-1.22957102342058,-0.806831755740593,0.28377273153831,0.492361926549561,0.672548021608378,-0.298739026658942,-0.627002533139825,-0.110551762968125
"SELENBP1",-0.515961751889746,-1.19274712439535,0.109054170826152,0.818085072121296,-2.35546967796017,-1.20435371837852,0.468992884102393,0.131481596666083,0.626353641844359,0.46290955528233,0.189395249392529,0.664010869204856,1.48810656190415,0.31014267127964
"HYDIN",-0.816069606293355,-0.055486189378473,-0.740018621770585,0.486923869787181,-1.10302105440702,-1.86466391242984,1.68445518885666,0.932552727546239,0.52981156362572,-0.330375088087225,0.94443484519296,1.14606673156396,-0.737826952099939,-0.0767835021062837
"FAM21B",0.963698037070729,2.06309472010574,-1.22287418334712,-0.311334683533234,0.787655441602092,0.622549706475112,0.39209458314075,-0.855067401439708,0.143023997321349,0.507676854575297,0.33082264521653,-1.01549194176537,-1.29462215047497,-1.11122562494719
"PTGDS",-0.999829983559664,-0.271005069359176,-0.452779715659113,-0.563482455639846,1.3203152329947,1.63072866612297,-0.842579529263895,-0.268195885914257,0.195784182909179,0.733095809127109,1.5639036386665,-1.46520976618536,-0.954815600694483,0.374070476455335
"MMP25",0.264809172703301,-0.291773512647125,0.203233985113775,-0.564555191780094,1.03719646573357,2.07347074181574,-1.18916977885741,1.26737397953376,-0.748586284582671,-0.17474580175674,0.665924765679924,-1.15466885262356,-1.30975693949052,-0.0787527488419524
"APOBEC3D",-0.511973449305978,1.71790957872244,-0.540652024567765,-0.0323124739253714,1.25035089003328,1.61071671897465,-1.14793817092848,0.623343961245181,-1.09271572512965,-0.0340122449081857,-0.420692818657566,-1.38049556189014,-0.439344365141255,0.397815685478828
"TCF7",1.16664356930023,-0.173967298521029,-0.840566553830622,-0.205664675104117,0.453174672517059,2.28638679744602,-0.533238396757393,0.19549212326628,0.420021082217421,0.517475645977932,-0.523564287033446,-1.62886076450434,-1.30511349138301,0.171781576409009
"HLA-DQA1",0.182093729458509,0.590701007017613,0.0249203035337444,-0.701373711077681,0.868097279838336,1.47056346821345,-1.02717451862266,1.82106479607885,0.10934104836105,-0.281902054961462,-0.325261176036605,-2.09878855795912,-0.449990178682723,-0.182291435161307
"SEPT1",0.238145955574487,-0.977487454236413,-0.155759682977344,-0.709679130105995,1.3037479404324,2.40782147702421,-1.02211602215274,0.673879633115278,-0.219574874692988,0.358376416079866,0.228540338244515,-1.07622577450211,-1.03750372498033,-0.0121650968228476
"FCHO1",0.891986487782006,0.904431073237031,-0.669575301286609,-1.08762619978441,1.16913188481565,1.72390477515492,-0.520074514708556,0.455188043670009,0.0620837118012473,-0.0568736777230329,-0.0691868579513636,-1.42138226464128,-1.67881346808975,0.296806307724168
"QPRT",-0.0106817325180588,-0.450263887648731,0.430486085339496,0.330504097754448,-0.717735516888689,0.567009259981847,-1.53940603002182,0.886005957553393,1.19332719336224,1.07818960202568,0.519467053244893,-1.93428435028944,-1.13838517285655,0.7857674409613
"DTHD1",0.379633035029234,-0.286732574185655,-0.51250651770288,-1.16086694344007,1.2363308456171,2.38295440694786,-0.717006625966314,-0.0837495319666467,-0.571964463313244,0.0853535985296122,1.11720771139831,-1.27989605204142,-0.438004959629486,-0.1507519292764
"FAM86FP",-1.52335501315514,-1.46640113025131,0.0169262398233541,1.03212450848893,-0.736311287892728,-0.716723593624522,0.616425765060697,-0.541619025216301,-0.217965558083113,0.7291726485595,-0.471383684979219,2.0165587997215,0.817527076933448,0.445024254614912
"HAND2",-0.472794662460652,-0.257024016545026,0.954365805536216,-0.435547359499653,-1.10248378001424,-1.64341092977241,0.764175058548886,-0.848545895618428,1.00916529924944,1.04850928750352,1.36189228879046,-0.390566181408671,-1.05793290412544,1.07019798981599
"PRIMA1",0.716436470557923,0.504818798100586,-0.274719010512447,-0.716371389740381,-0.933176727118893,-1.61566487125244,2.70413346638625,-0.429374951932232,0.397714863703437,0.191325235248266,0.104122484240623,-0.156031207769767,0.149453093465259,-0.64266625337618
"FAR2",-0.602097454994693,0.365307331443634,-0.694104124733994,1.25981649789969,-0.666895766794666,-1.34638071715938,2.55581920272185,-0.0736251108964823,-0.649595724535618,-0.220862331229011,-0.818406992779982,0.692391847498358,0.111741587770982,0.0868917557893187
"SRCIN1",-0.252124929189331,-0.341478913677693,-0.240410926269746,1.11893678124795,-1.49209893818596,-1.01864855537097,-0.129060859707887,-0.329362905871366,-0.913377666798953,-0.113707111252073,-0.395633758375885,2.01658521672871,1.70310000561943,0.387282561103772
