"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ABAT",772.243973396722,2.89876232672127e-07,0.00144269393409856,0.751102557300135,0.999991371923663
"ABCA1",18847.0763589885,-2.95436208426638e-06,0.00144269512090849,0.00765635059585845,0.362763780527478
"ABCA10",1420.22683656682,-8.15448838825289e-08,0.00144269390007136,0.923984133973435,0.999991371923663
"ABCA11P",612.605436511285,6.73757984890351e-07,0.00144269381433264,0.489358293216113,0.999991371923663
"ABCA12",776.996551993597,5.51753186079388e-07,0.00144269491658657,0.158845599496372,0.999991371923663
"ABCA13",658.147093608072,-8.68957422645811e-07,0.00144269495860824,0.0615177462876753,0.999991371923663
"ABCA2",16614.1905584656,-6.59216935245015e-07,0.00144269405466013,0.457594510328401,0.999991371923663
"ABCA3",6264.98702878235,1.27373397609714e-06,0.00144269357959436,0.264180864909821,0.999991371923663
"ABCA4",165.293046279021,5.28337482005585e-07,0.00144269434168799,0.474673063407176,0.999991371923663
"ABCA5",3399.35714396519,6.28685213269415e-07,0.00144269347351826,0.567452575807706,0.999991371923663
"ABCA6",3963.26478903578,4.19456655187731e-07,0.00144269413072469,0.614459237787656,0.999991371923663
"ABCA7",5936.18455424916,8.18274873625031e-07,0.00144269310733486,0.503240851774707,0.999991371923663
"ABCA8",1935.98843144014,-9.64961398968936e-07,0.00144269449823495,0.194485715538708,0.999991371923663
"ABCA9",2019.51004281506,-2.87203081239108e-07,0.00144269403350685,0.734716829419077,0.999991371923663
"ABCB1",1254.4938177335,-3.63104513019017e-07,0.00144269405133449,0.664206173105187,0.999991371923663
"ABCB10",2064.48161565777,-1.63815325660551e-09,0.00144269378343972,0.999890974020623,0.999991371923663
"ABCB11",64.3458615353883,6.09433608963318e-07,0.00144269491895932,0.151308378241002,0.999991371923663
"ABCB4",391.42089599418,7.61153023181609e-07,0.00144269438870128,0.317327845368238,0.999991371923663
"ABCB5",229.687445929607,-7.30372995374568e-07,0.00144269502230159,0.047619278008679,0.949030144250096
"ABCB6",900.828610592314,-6.51651626769077e-07,0.00144269296363493,0.600941093017019,0.999991371923663
"ABCB7",2628.90763356305,1.94960171335924e-07,0.00144269273722866,0.880341969620981,0.999991371923663
"ABCB8",2042.71333784926,-8.3135244305265e-08,0.00144269337488488,0.943447822228166,0.999991371923663
"ABCB9",819.621989786792,9.786592516197e-07,0.00144269449762939,0.188906489528509,0.999991371923663
