"","R-5_C1D1","R-12_C1D1","R-19_C1D1","R-20_C1D1","R-2_C1D1","R-18_C1D1","R-14_C1D1","R-6_C1D1","R-8_C1D1","R-17_C1D1","R-16_C1D1","R-24_C1D1","R-9_C1D1","R-7_C1D1","R-13_C1D1","R-10_C1D1"
"MIR378I",-0.547438307046808,-0.791043829148028,-0.525551693137397,-0.572121187604085,1.69185951546255,0.679502681795635,2.78843280411762,-0.283174693507029,-0.325767990659537,-0.269739241204472,0.733319981278128,-0.379144508955763,-0.860122531781973,-0.207879579140303,-0.629710742168121,-0.501420678300424
"BAIAP2L2",1.77306813571343,0.360256530236606,-0.274624478153129,-1.19405589201838,1.19367308675958,1.78086680224072,-0.131523444960223,-0.976902810745237,-1.25857766105199,-0.0287113075758409,1.12947027861802,0.159903021426731,-0.595619283301289,-0.942406856326192,-0.368101656101051,-0.62671446476173
"ADORA3",-1.34736556522129,0.45924707408505,0.304945223180051,-0.558277126154775,-0.684184981280951,-1.09381860308615,-1.11303349672111,0.3130178729639,-0.952248409550957,0.0902215045586974,-0.449402265147526,0.819608942081258,0.727015269585382,2.61223148568048,0.283560108609555,0.588482966418399
"BLK",-0.658718785901775,-0.890760045790157,-0.726900165471723,-0.526755730755513,1.71272014763522,-0.553696698281481,2.49871653290578,-1.01501278836086,-0.399573655357057,0.758855769068588,0.619247631709352,0.0684003700659427,-0.681961423169551,0.513932978920163,0.0542575957507089,-0.772751732967635
"TNFRSF13C",-0.452352956821794,-0.945559571066164,-0.419384353444541,-0.489665397640528,1.77682745094074,1.09862110682738,2.52727976122847,-0.284986232493271,-0.345074974422242,-0.221018012614679,0.633908381184086,-0.722674560897388,-1.01763538497455,-0.371632625332122,-0.599658723817248,-0.166993906656153
"TPTE2",0.510216813228145,-1.26089204359038,-0.838124357411735,-0.507712885834671,1.88927543437361,0.873954157854547,2.24937286442678,-0.624061787921907,0.511801225614248,-0.648024762309383,0.0927707534997021,-0.274780909299904,-0.888648895756104,0.167976427772194,-0.764869376901025,-0.488252657744113
"HMSD",-1.16568783940486,-0.401309616985937,-1.13375206366991,-0.376483653367897,1.30226736290933,-0.302739529123304,1.73945582957553,-1.23520640172082,-0.207749560059097,1.41407585425343,1.20786437789377,0.775493882082792,-0.507635271873644,-0.939937872603507,0.392903429014717,-0.561558926920583
"ACN9",0.461611569309912,-0.197836379279031,-1.83009912494434,-0.124671430389162,0.630237636595566,0.235315237750436,0.407451658016962,-1.75174178817508,0.283203275741011,0.94697412023854,2.12746706725187,0.399954042549914,-1.35701827199823,-0.0103816043643879,0.178582188347208,-0.399048196651186
"HIST1H4L",0.485985325256991,-0.856087609298146,-0.838209222299277,-0.564699896061098,1.62195275710343,-1.02662200642403,0.613257296272821,-0.647180573627728,0.676707215174045,0.569166977720276,2.39859534526476,-0.462498465746334,-0.787146985891121,0.284204746416961,-0.690399088171438,-0.77702581569011
"MGAT3",-0.729430184158854,-1.08340765653491,-0.524526400133583,-0.261140676092084,0.776703428501293,1.06654603405601,1.68784419067449,-1.18421446592501,0.0885986955430839,0.153429081716082,1.9523942417341,-0.324721910741576,0.133015794364554,-0.0395871149137365,-1.7293380961816,0.0178350380917258
