"","R-10_Baseline","R-10_C1D1","R-10_Week_8","R-12_Baseline","R-12_C1D1","R-13_C1D1","R-13_Week_8","R-14_Baseline","R-14_C1D1","R-15_Baseline","R-16_C1D1","R-16_Week_8","R-17_Baseline","R-17_C1D1","R-18_Baseline","R-18_C1D1","R-19_C1D1","R-2_Baseline","R-2_C1D1","R-2_Week_8","R-20_Baseline","R-20_C1D1","R-23_Week_8","R-24_Baseline","R-24_C1D1","R-4_Baseline","R-4_Week_8","R-5_Baseline","R-5_C1D1","R-6_Baseline","R-6_C1D1","R-6_Week_8","R-7_C1D1","R-8_Baseline","R-8_C1D1","R-9_Baseline","R-9_C1D1"
"FOXC1",-0.338560453509264,-0.76159558406139,-0.537884374716134,-0.943596321228475,-1.23337896687598,-0.834729794721454,-0.464505785259568,0.441137503287591,0.779051805298008,-0.416201872570057,2.35045522298298,-0.642927199208336,-0.0993349532161326,-0.0534329804238429,-0.942855962414859,-1.29716264931275,-0.223072645274923,0.756961187817917,0.559825066275455,-0.577824173226506,-0.736342124116067,-0.568306718411126,-0.488919904516033,-1.00245510949212,-0.679542517693908,-0.229018853756199,-0.90070129093773,2.08247513277376,2.37991877544781,0.983057970517441,1.10025417151306,1.24343473008673,-0.42242906737989,0.982627192094524,1.51966464638026,-0.444837862430858,-0.339246239721929
"GPR160",0.742930050676002,1.59313217972065,-0.856794037686784,0.940383323355268,1.71002773329643,-0.00308651569695548,0.843225774619058,1.83182734928219,1.54483994662815,-0.3432479999819,-0.843549099700509,-0.56132709156361,-1.68381684582362,-2.09668449437025,0.15436210914436,0.548623124820495,-0.297532983033992,-0.652699205944507,-0.790536549385396,0.27630766464169,0.0931512745492964,0.172313512812875,1.49699096839007,-0.248035574462263,-0.451851442231518,0.748752186970471,0.00351580499643356,-1.76547089368861,0.5522746146428,-0.218728747688852,-0.452646012630762,0.170153183985942,0.120740814758739,-0.878045889593376,-2.04490477458339,0.241962683533792,0.403443857241571
"GRB7",0.833628153861928,0.210958030331894,-3.49296650582582,0.27058340144302,0.380635406418616,0.269778786772816,0.505087646596513,-0.381902761023829,-0.342788836380034,1.92307509753939,-0.88660330551959,-1.02743373314356,-0.224877786929179,-0.276877670453426,-0.0544694735160785,0.554919089315008,0.363490743293682,-0.0658771499599155,0.393291872893659,-3.04528270175128,0.4744369930237,0.272767474659359,1.13991292567687,0.0946932410272902,-0.314902541340011,0.155886156266136,-0.398178666285442,1.27550649893417,1.40238322396277,0.287808246323952,0.438493315504047,0.614896050307463,-0.569537412400654,-0.211318999046294,-0.164319051524945,-0.417852540839711,0.0129567817874995
"KIF2C",-0.0737001102724692,0.466369836084557,-0.84432359468532,-0.0368591614207828,0.0585115395191608,-0.547445971246886,-1.50548978134113,0.166338138923335,0.239046571792116,-1.18593507565102,1.43905239108757,-2.28692465704116,0.293759856844423,0.291759491669614,0.727917550856139,1.03825033320066,0.614711314954359,1.1125232273766,1.07673047987796,0.159423808814591,-0.539689882324943,-0.617737428986049,0.81327607825547,0.0339290123800473,-0.763664129629066,-1.27668143801048,-0.852357318270404,0.481731416398791,0.102019896528439,1.39241687689815,1.37857823727144,0.793638845469624,-1.8612876253788,1.41835535072154,0.995516912938077,-1.44535400552836,-1.2564069880758
"KRT14",-0.824841384540893,-0.819994347846814,-0.429698853727187,-0.918752097062637,-0.773090704059889,-0.812681423352905,-0.853968095978259,-0.24141816027104,-0.334717419904071,-0.785049268232603,2.22378589252535,-0.599848550809528,0.515168643084668,0.600456538675878,-0.823233516682104,-0.814473860944206,-0.727763857713079,0.506259948508264,-0.258810440556113,-0.616898204604574,-0.326728127781865,2.16595758793417,-0.80658791416979,-0.419252281163283,-0.384260889841886,-0.18980141782742,-0.706147579206522,1.96603027655969,0.866950146649509,1.03801876641672,1.38632093925807,1.19299687635465,-0.630789858721369,0.588512792637442,2.32962938462076,-0.65465934050348,-0.626620197723657
"KRT17",-1.21072524559359,-1.13322026299941,-1.064177915237,-0.532563346984539,-0.837626354726913,-1.279983058024,-0.627794892801276,-0.0199221995987521,0.100009238118647,-1.09680266674237,0.869927724163445,-0.167150330308616,1.1701994391328,1.25470788736932,-1.19756467759269,-1.48935853574329,-0.694044136511753,1.91677102325494,1.46315615516319,-0.0279152035499268,-0.831303185987064,-0.338382549751463,-1.19352010604009,-0.158184058517009,-0.288010630583274,0.30350944704044,-0.531170126941098,2.15459981443209,2.00178659697653,0.520167169254378,0.482030058560887,0.288071664974407,0.501685511070891,0.861337731606306,1.08889375379507,-0.284083487231518,0.0266497565522908
"KRT5",-0.875449811285384,-0.714040663770219,-0.563836858214033,-0.898660424220984,-0.976271201462288,-0.879649154190855,-0.857883725145647,-0.717206129314127,-0.703496955040145,-0.732622961602225,1.17050103264616,-0.46388128679213,0.905063422050007,1.11528396408954,-0.880574771739486,-0.963508000755536,-1.07511794982077,1.45381270331874,1.21652626773095,0.460020894440066,-0.360871215120495,1.71864275096073,-0.977002195334146,-0.530760700760869,-0.483135767813252,-0.0830252306899132,-0.645295912469079,-0.0599970884385907,1.03619651284666,1.59531741168722,1.67209705956591,1.75950342346056,0.0934804670972984,0.264010398164251,1.76478028827756,-0.929962733337672,-0.852985859017792
"MAPT",1.3179544701695,1.67493073924222,-1.19194126118553,1.04764800418575,0.680322352158282,-0.230818014341777,1.20703408529064,-0.578378259053405,-0.515278389227664,1.71773740417409,-1.08771733388145,-1.17633076633357,-0.714172675332502,-0.588418467885275,1.50131364624117,1.74983433479256,0.856592279964096,-1.60033567077997,-1.38381751674063,-0.611986069649593,0.774605222710678,0.294848159897419,0.554928885164196,-1.2756332241868,-0.820539201436416,0.91459985913533,-1.02680419324862,-0.50745363417799,-0.198005147598817,-0.766365463775883,-0.479486712336137,-0.60250144397802,-0.154032099028101,0.993035499469965,0.996742751898419,-0.638719495411901,-0.133392654904284
"MDM2",-0.344420738200196,0.627555375851151,-0.569186489755261,0.263596569850299,0.6740574687624,0.504639211580769,-0.223707070222682,-0.239471687234093,-0.539023412566828,-0.556494236785931,-0.409529250287876,-0.655006829448696,-0.609950961774348,-0.983043165827035,3.30208491709987,3.58403153581113,-0.231780601696733,-0.384969183786756,-0.541895441512653,-0.563497575833237,-0.258610034381779,-0.260298553547466,-0.235912933091408,0.425887324689562,0.0602449561226497,0.1965983773167,0.489030708307348,-0.0692398367347759,0.410321936464498,-0.811875132938132,-1.04730007680321,-1.05598861899544,0.367801325376897,-0.986519385411527,-0.970913730609939,1.02418370337286,0.6186015368399
"MELK",0.520412700214161,1.17592875657155,-0.868266847625899,0.0686780263925666,0.163042816246314,-0.897404875790134,-1.79358447791219,0.333952740249968,0.273919880432199,-1.72108078084221,-0.0236163773473711,-1.84704097031176,0.376130645226203,0.168205377305291,0.483062507151854,0.647009025767871,-0.0294384638825905,1.16592102479002,1.21197968060029,0.0624322704270104,-0.729721324026469,-0.512650420941763,1.07180770251764,0.529065167121833,-0.263570818489581,-1.02190422582501,-0.978771670766718,0.599979012578931,0.671425105189242,1.71608147107542,1.65351170438085,1.28257014596644,-1.83314965082018,0.542428098683521,0.297405059642902,-1.3848267447469,-1.1099212692033
